sp_id,sp_name,genus
Eateoo-uuse,Eateooe uuseu,Eateooe
Eateoo-euah,Eateooe euahe,Eateooe
Eateoo-eeer,Eateooe eeer,Eateooe
Eateoo-seai,Eateooe seain,Eateooe
Eateoo-ado,Eateooe ado,Eateooe
Eateoo-ojio,Eateooe ojio,Eateooe
Eateoo-ouco,Eateooe oucoo,Eateooe
Agana-udu,Agana udu,Agana
Suiueq-iie,Suiuequ iie,Suiuequ
Ukiaoc-uoiq,Ukiaocoeou uoiq,Ukiaocoeou
Iezuew-waoe,Iezuewipej waoefa,Iezuewipej
Imiiak-aeei,Imiiakuo aeeia,Imiiakuo
Imiiak-ale,Imiiakuo ale,Imiiakuo
Imiiak-aeb,Imiiakuo aeb,Imiiakuo
Kueeer-eood,Kueeereti eoode,Kueeereti
Isawih-oiuy,Isawihoobi oiuyoi,Isawihoobi
Nereeo,Nereeouyai,Nereeouyai
Aduvex-ueaa,Aduvexioba ueaa,Aduvexioba
Liruew-acue,Liruew acueax,Liruew
Ubizar-uihi,Ubizar uihi,Ubizar
Xejoie,Xejoie,Xejoie
Omeoug,Omeougeuko,Omeougeuko
Omeoug-ouoc,Omeougeuko ouoc,Omeougeuko
Colaos-iei,Colaose iei,Colaose
Unavou-ani,Unavouee ani,Unavouee
Wudoea-uxei,Wudoeae uxeiu,Wudoeae
Ouutic,Ouuticued,Ouuticued
Ouutic-uea,Ouuticued uea,Ouuticued
Ouutic-oie,Ouuticued oie,Ouuticued
Ouutic-aee,Ouuticued aee,Ouuticued
Ouutic-eoi,Ouuticued eoi,Ouuticued
Yuzia-oaa,Yuzia oaa,Yuzia
Yuzia-koui,Yuzia kouia,Yuzia
Okeoa-uzai,Okeoa uzaiu,Okeoa
Kaxoaw-otua,Kaxoawe otuaok,Kaxoawe
Uquvoe,Uquvoeau,Uquvoeau
Daiiag,Daiiago,Daiiago
Daiiag-uour,Daiiago uouru,Daiiago
Daiiag-rea,Daiiago rea,Daiiago
Daiiag-orie,Daiiago orieop,Daiiago
Uvasa-ueoe,Uvasa ueoeu,Uvasa
Weceoe-euz,Weceoeibit euz,Weceoeibit
Auiuir-euab,Auiuiroata euab,Auiuiroata
Tacoug-ueaw,Tacougopii ueawu,Tacougopii
Oqaiav-gaiu,Oqaiavoi gaiu,Oqaiavoi
Lupaa,Lupaa,Lupaa
Efuuen-etuo,Efuueni etuoe,Efuueni
Zauioq-oii,Zauioqu oii,Zauioqu
Zauioq-aamu,Zauioqu aamuaa,Zauioqu
Afofi-eauv,Afofi eauve,Afofi
Aimuus-ulu,Aimuusan ulu,Aimuusan
Exozod,Exozodoa,Exozodoa
Exozod-wiuu,Exozodoa wiuu,Exozodoa
Exozod-eiii,Exozodoa eiiiep,Exozodoa
Exozod-oao,Exozodoa oao,Exozodoa
Exozod-iiue,Exozodoa iiuei,Exozodoa
Exozod-eafu,Exozodoa eafu,Exozodoa
Bahuaw-iuey,Bahuawutaq iuey,Bahuawutaq
Udaio-aook,Udaio aooka,Udaio
Iefiaa,Iefiaaaru,Iefiaaaru
Ahupam-epu,Ahupam epu,Ahupam
Uibauc,Uibaucade,Uibaucade
Abome,Abome,Abome
Abome-oofe,Abome oofeoo,Abome
Abome-iaiu,Abome iaiui,Abome
Abome-atiu,Abome atiu,Abome
Abome-aook,Abome aooka,Abome
Abome-waiu,Abome waiusa,Abome
Abome-yoao,Abome yoao,Abome
Abome-efui,Abome efuie,Abome
Abome-aoot,Abome aoota,Abome
Abome-uqu,Abome uqu,Abome
Haeoao-auid,Haeoaoi auida,Haeoaoi
Haeoao-uoio,Haeoaoi uoio,Haeoaoi
Haeoao-ado,Haeoaoi ado,Haeoaoi
Eiebex,Eiebexi,Eiebexi
Oayieh-eiud,Oayiehicu eiud,Oayiehicu
Efabol-auji,Efabolo auji,Efabolo
Euveik-geae,Euveika geae,Euveika
Eiioij-orau,Eiioijeee orau,Eiioijeee
Teeaap,Teeaapok,Teeaapok
Teeaap-eido,Teeaapok eidoe,Teeaapok
Oeenid,Oeenidu,Oeenidu
Oeenid-ooua,Oeenidu oouaoo,Oeenidu
Oeenid-jauo,Oeenidu jauoba,Oeenidu
Sucoag-owi,Sucoage owi,Sucoage
Eloyah,Eloyah,Eloyah
Eloyah-iome,Eloyah iomei,Eloyah
Eloyah-oeum,Eloyah oeumoe,Eloyah
Eloyah-oiak,Eloyah oiakoi,Eloyah
Wihaor-aook,Wihaoripel aooka,Wihaoripel
Icioot-kaa,Iciootuah kaa,Iciootuah
Kaqeoh-ieie,Kaqeoho ieiei,Kaqeoho
Unorih-oxee,Unorihuo oxee,Unorihuo
Cocoi-aea,Cocoi aea,Cocoi
Cocoi-eeun,Cocoi eeune,Cocoi
Uzuuua-uihu,Uzuuuaia uihu,Uzuuuaia
Uzuuua-eeaq,Uzuuuaia eeaqee,Uzuuuaia
Fubais,Fubais,Fubais
Fubais-ifee,Fubais ifee,Fubais
Fubais-ugi,Fubais ugi,Fubais
Fubais-eih,Fubais eih,Fubais
Fubais-eiue,Fubais eiueei,Fubais
Fubais-ooeu,Fubais ooeuo,Fubais
Fubais-houe,Fubais houe,Fubais
Fubais-ilii,Fubais ilii,Fubais
Fubais-ahae,Fubais ahaea,Fubais
Fubais-eega,Fubais eega,Fubais
Fubais-ooeo,Fubais ooeoo,Fubais
Fubais-uiib,Fubais uiib,Fubais
Fubais-jueu,Fubais jueul,Fubais
Fubais-iwoe,Fubais iwoe,Fubais
Fubais-oqea,Fubais oqeaoc,Fubais
Fubais-oaza,Fubais oazaoa,Fubais
Fubais-aiup,Fubais aiupa,Fubais
Fubais-oiah,Fubais oiah,Fubais
Fubais-aiov,Fubais aiovai,Fubais
Fubais-oeao,Fubais oeaod,Fubais
Fubais-oaie,Fubais oaie,Fubais
Fubais-iuo,Fubais iuo,Fubais
Fubais-ezi,Fubais ezi,Fubais
Fubais-iihe,Fubais iiheii,Fubais
Fubais-iuit,Fubais iuiti,Fubais
Fubais-uies,Fubais uies,Fubais
Fubais-fuoa,Fubais fuoaau,Fubais
Fubais-eee,Fubais eee,Fubais
Fubais-oroi,Fubais oroio,Fubais
Fubais-euoa,Fubais euoae,Fubais
Fubais-oano,Fubais oano,Fubais
Fubais-iale,Fubais iale,Fubais
Fubais-uoe,Fubais uoe,Fubais
Fubais-aoot,Fubais aootao,Fubais
Fubais-uoej,Fubais uoeju,Fubais
Fubais-mia,Fubais mia,Fubais
Fubais-ohoe,Fubais ohoeo,Fubais
Fubais-uzui,Fubais uzuiuq,Fubais
Fubais-eico,Fubais eicoei,Fubais
Fubais-uqu,Fubais uqu,Fubais
Fubais-aeo,Fubais aeo,Fubais
Fubais-iiip,Fubais iiipi,Fubais
Fubais-voaa,Fubais voaaj,Fubais
Imeneb-oeio,Imeneboooi oeio,Imeneboooi
Jihuif-eve,Jihuif eve,Jihuif
Uzevec-iobu,Uzevecoo iobu,Uzevecoo
Xosier-iyee,Xosieri iyeeio,Xosieri
Oduxin-uaug,Oduxin uaug,Oduxin
Doiueb-jee,Doiuebuver jee,Doiuebuver
Ixupud,Ixupuduep,Ixupuduep
Ixupud-ulu,Ixupuduep ulu,Ixupuduep
Ixupud-aiov,Ixupuduep aiovai,Ixupuduep
Biooev,Biooeviv,Biooeviv
Owebuy-idu,Owebuyaelo idu,Owebuyaelo
Uuvoon,Uuvoonaean,Uuvoonaean
Uuvoon-uuee,Uuvoonaean uueeuu,Uuvoonaean
Uuvoon-ioiq,Uuvoonaean ioiq,Uuvoonaean
Uuvoon-aea,Uuvoonaean aea,Uuvoonaean
Uuvoon-aaia,Uuvoonaean aaia,Uuvoonaean
Uuvoon-yueo,Uuvoonaean yueog,Uuvoonaean
Uuvoon-iuu,Uuvoonaean iuu,Uuvoonaean
Uuvoon-auji,Uuvoonaean auji,Uuvoonaean
Uuvoon-aza,Uuvoonaean aza,Uuvoonaean
Uuvoon-uane,Uuvoonaean uaneua,Uuvoonaean
Uuvoon-aeof,Uuvoonaean aeof,Uuvoonaean
Uuvoon-otua,Uuvoonaean otuaok,Uuvoonaean
Uuvoon-uoua,Uuvoonaean uouauo,Uuvoonaean
Uuvoon-cioo,Uuvoonaean cioodi,Uuvoonaean
Udicib-eea,Udicib eea,Udicib
Udicib-ixee,Udicib ixeei,Udicib
Kipeei-iio,Kipeeio iio,Kipeeio
Abiyux-euei,Abiyux eueie,Abiyux
Bepao-udu,Bepao udu,Bepao
Orucan-eauw,Orucaneilo eauwea,Orucaneilo
Orucan-ooi,Orucaneilo ooi,Orucaneilo
Mituuu-iuiz,Mituuuime iuiz,Mituuuime
Ugilun-qeoo,Ugilunei qeoo,Ugilunei
Augeu-opii,Augeu opiioc,Augeu
Augeu-ooee,Augeu ooee,Augeu
Azelao-ouoc,Azelaoaeya ouoc,Azelaoaeya
Lijual-iom,Lijualux iom,Lijualux
Ufufuc-iui,Ufufuc iui,Ufufuc
Zuiou-eaur,Zuiou eaur,Zuiou
Oliwug-eoeu,Oliwugue eoeuk,Oliwugue
Bideo-opuu,Bideo opuu,Bideo
Apaeuk-ado,Apaeukoed ado,Apaeukoed
Bugaid,Bugaidi,Bugaidi
Bugaid-oiou,Bugaidi oiouo,Bugaidi
Bugaid-uiea,Bugaidi uieaui,Bugaidi
Auubuo-ooa,Auubuo ooa,Auubuo
Kubiog,Kubiogavug,Kubiogavug
Kubiog-aeu,Kubiogavug aeu,Kubiogavug
Kubiog-ayue,Kubiogavug ayueaa,Kubiogavug
Kubiog-uoi,Kubiogavug uoi,Kubiogavug
Kubiog-aauu,Kubiogavug aauuaa,Kubiogavug
Esiwey-eico,Esiwey eicoei,Esiwey
Natoaq-ouu,Natoaqac ouu,Natoaqac
Natoaq-iiub,Natoaqac iiub,Natoaqac
Natoaq-ueu,Natoaqac ueu,Natoaqac
Otuduj,Otudujaed,Otudujaed
Otuduj-edu,Otudujaed edu,Otudujaed
Otuduj-ieno,Otudujaed ieno,Otudujaed
Otuduj-eien,Otudujaed eienei,Otudujaed
Otuduj-ueit,Otudujaed ueitu,Otudujaed
Milias-iaij,Miliase iaij,Miliase
Asouem-dea,Asouemi dea,Asouemi
Asouem-iqao,Asouemi iqaoi,Asouemi
Jusoal-ami,Jusoaliruy ami,Jusoaliruy
Unejiu-uuje,Unejiuue uuje,Unejiuue
Cimue-oae,Cimue oae,Cimue
Oreuaa,Oreuaaoa,Oreuaaoa
Qazao,Qazao,Qazao
Qazao-eko,Qazao eko,Qazao
Qazao-uboe,Qazao uboe,Qazao
Uxilam-aone,Uxilamii aonea,Uxilamii
Cupeez-iuiz,Cupeezuxuw iuizi,Cupeezuxuw
Cupeez-oiew,Cupeezuxuw oiewo,Cupeezuxuw
Cupeez-cioe,Cupeezuxuw cioe,Cupeezuxuw
Cupeez-uxeu,Cupeezuxuw uxeuut,Cupeezuxuw
Izamul-arao,Izamuleeni araoa,Izamuleeni
Cijuiu,Cijuiue,Cijuiue
Cijuiu-uawe,Cijuiue uaweua,Cijuiue
Ifociw-iio,Ifociwoogi iio,Ifociwoogi
Fiteeo-oee,Fiteeoat oee,Fiteeoat
Evoiuk-euoe,Evoiukait euoeeu,Evoiukait
Geieif-oei,Geieifao oei,Geieifao
Uaefid,Uaefidois,Uaefidois
Uaefid-auu,Uaefidois auu,Uaefidois
Uaefid-oiah,Uaefidois oiah,Uaefidois
Uaefid-uheo,Uaefidois uheouq,Uaefidois
Gukuux-eif,Gukuuxuni eif,Gukuuxuni
Aletiu-oaaz,Aletiuaaca oaazoa,Aletiuaaca
Aletiu-ouo,Aletiuaaca ouo,Aletiuaaca
Aletiu-oaia,Aletiuaaca oaiao,Aletiuaaca
Sueiou-yaoe,Sueiouo yaoej,Sueiouo
Ataju-akee,Ataju akee,Ataju
Givoop-oqee,Givoopo oqeeoq,Givoopo
Acooa-urii,Acooa uriiu,Acooa
Acooa-uuca,Acooa uuca,Acooa
Lobeiy-euo,Lobeiyusen euo,Lobeiyusen
Ebalud-uaa,Ebalud uaa,Ebalud
Ebalud-quue,Ebalud quueuu,Ebalud
Meruue-udu,Meruueuiup udu,Meruueuiup
Meruue-ehoa,Meruueuiup ehoa,Meruueuiup
Atoiar-ieih,Atoiariiga ieihie,Atoiariiga
Qokuaq-aua,Qokuaqag aua,Qokuaqag
Iiusaq-ezeu,Iiusaqoe ezeu,Iiusaqoe
Koyaoz,Koyaozo,Koyaozo
Koyaoz-uoi,Koyaozo uoi,Koyaozo
Koyaoz-uyie,Koyaozo uyie,Koyaozo
Koyaoz-aaeo,Koyaozo aaeoa,Koyaozo
Koyaoz-tiei,Koyaozo tieifi,Koyaozo
Ieabak-ueuu,Ieabakeof ueuu,Ieabakeof
Ieabak-owo,Ieabakeof owo,Ieabakeof
Ieabak-axea,Ieabakeof axeaa,Ieabakeof
Ieabak-oeeo,Ieabakeof oeeo,Ieabakeof
Ieabak-etu,Ieabakeof etu,Ieabakeof
Eosouq,Eosouqoc,Eosouqoc
Emaziu-ouuz,Emaziuou ouuzo,Emaziuou
Ooluaj,Ooluajowii,Ooluajowii
Ooluaj-uco,Ooluajowii uco,Ooluajowii
Ukowae,Ukowae,Ukowae
Ukowae-eifu,Ukowae eifu,Ukowae
Oukaub,Oukaubayu,Oukaubayu
Oukaub-uoo,Oukaubayu uoo,Oukaubayu
Oukaub-rae,Oukaubayu rae,Oukaubayu
Oukaub-uzii,Oukaubayu uziiu,Oukaubayu
Idegew-ipau,Idegewuuei ipau,Idegewuuei
Miyoi-eohu,Miyoi eohue,Miyoi
Olouaw-ioaz,Olouaweus ioazi,Olouaweus
Uuguu-vuuo,Uuguu vuuovu,Uuguu
Aeaueb-ujio,Aeauebuo ujiou,Aeauebuo
Aeaueb-eein,Aeauebuo eein,Aeauebuo
Aeaueb-reee,Aeauebuo reeev,Aeauebuo
Folai,Folai,Folai
Folai-aci,Folai aci,Folai
Folai-uei,Folai uei,Folai
Folai-oaie,Folai oaie,Folai
Folai-iuey,Folai iueyi,Folai
Folai-uane,Folai uaneua,Folai
Folai-oeiz,Folai oeizo,Folai
Folai-xiei,Folai xiei,Folai
Folai-iji,Folai iji,Folai
Arafiv-uloe,Arafiveo uloeup,Arafiveo
Tasue-ioaw,Tasue ioawi,Tasue
Epinax,Epinaxi,Epinaxi
Epinax-atiu,Epinaxi atiu,Epinaxi
Epinax-mia,Epinaxi mia,Epinaxi
Epinax-ayue,Epinaxi ayueaa,Epinaxi
Epinax-aiia,Epinaxi aiia,Epinaxi
Epinax-ouea,Epinaxi ouea,Epinaxi
Xadii-ito,Xadii ito,Xadii
Xadii-vuua,Xadii vuuaxu,Xadii
Xadii-exee,Xadii exee,Xadii
Eromuq-alaa,Eromuquez alaa,Eromuquez
Iojoaq-etu,Iojoaqujiy etu,Iojoaqujiy
Akopub-ouwi,Akopubi ouwi,Akopubi
Iefouu-oair,Iefouueta oair,Iefouueta
Axonuz,Axonuz,Axonuz
Axonuz-zeae,Axonuz zeaehe,Axonuz
Jewie-exoo,Jewie exooe,Jewie
Aqaqa-ikoe,Aqaqa ikoeiy,Aqaqa
Aqaqa-ueoe,Aqaqa ueoeu,Aqaqa
Aqaqa-uiki,Aqaqa uiki,Aqaqa
Vaviak,Vaviaki,Vaviaki
Otijae-eeux,Otijaeu eeuxe,Otijaeu
Luhoig,Luhoigo,Luhoigo
Luhoig-ezaa,Luhoigo ezaa,Luhoigo
Ehuuof-anii,Ehuuofou aniia,Ehuuofou
Nowuaa,Nowuaaam,Nowuaaam
Nowuaa-ooiv,Nowuaaam ooiv,Nowuaaam
Nowuaa-iaox,Nowuaaam iaoxi,Nowuaaam
Nowuaa-keue,Nowuaaam keue,Nowuaaam
Auabad-ulu,Auabadie ulu,Auabadie
Yavaam-ueuu,Yavaama ueuu,Yavaama
Uloyes-mia,Uloyesaipu mia,Uloyesaipu
Deciol-abou,Decioloqu abou,Decioloqu
Exitem-atiu,Exitem atiu,Exitem
Wamuof-ilue,Wamuofir iluei,Wamuofir
Ekediw-ouoc,Ekediwe ouoc,Ekediwe
Ekediw-uafa,Ekediwe uafau,Ekediwe
Finui-iuau,Finui iuauk,Finui
Ulukul-eia,Ulukuloedu eia,Ulukuloedu
Ulukul-auu,Ulukuloedu auu,Ulukuloedu
Mixeel-ieo,Mixeel ieo,Mixeel
Otajoe-diea,Otajoeiizo diea,Otajoeiizo
Otajoe-ueu,Otajoeiizo ueu,Otajoeiizo
Eizuau-itii,Eizuauoki itiii,Eizuauoki
Uguve,Uguve,Uguve
Uguve-uoo,Uguve uoo,Uguve
Uguve-uami,Uguve uamiu,Uguve
Uguve-iro,Uguve iro,Uguve
Uguve-euu,Uguve euu,Uguve
Uguve-uafa,Uguve uafau,Uguve
Uguve-eaxe,Uguve eaxe,Uguve
Uguve-oaui,Uguve oauioa,Uguve
Uguve-iaa,Uguve iaa,Uguve
Zofaem-uiub,Zofaemam uiubu,Zofaemam
Ipases-hei,Ipasesaoci hei,Ipasesaoci
Maquah-iju,Maquahunas iju,Maquahunas
Acukio,Acukioieg,Acukioieg
Acukio-aewe,Acukioieg aeweae,Acukioieg
Visuie-oeeb,Visuieao oeebo,Visuieao
Abivi-uuau,Abivi uuauuu,Abivi
Yineir-nuoe,Yineir nuoev,Yineir
Ehekig-eeoz,Ehekigei eeoz,Ehekigei
Faveoh,Faveohami,Faveohami
Awexay-ulu,Awexayou ulu,Awexayou
Faoia-otua,Faoia otuaok,Faoia
Umemar-ecu,Umemare ecu,Umemare
Gotoui-eute,Gotouiuu eute,Gotouiuu
Gotoui-aoai,Gotouiuu aoaiao,Gotouiuu
Uuosed-uaid,Uuosede uaidua,Uuosede
Nijeev-nuea,Nijeevuh nueax,Nijeevuh
Ehaauu-agei,Ehaauuoaz ageiaz,Ehaauuoaz
Jixiis-eeje,Jixiis eeje,Jixiis
Jixiis-akao,Jixiis akaoai,Jixiis
Jixiis-uir,Jixiis uir,Jixiis
Jixiis-oeuf,Jixiis oeufoe,Jixiis
Jixiis-eiu,Jixiis eiu,Jixiis
Jixiis-qoee,Jixiis qoeeq,Jixiis
Ewivib-aloe,Ewivibiege aloea,Ewivibiege
Tapaag-ueur,Tapaaga ueuru,Tapaaga
Elajok-oheo,Elajokio oheoo,Elajokio
Elajok-oijo,Elajokio oijooi,Elajokio
Ooiia-ioob,Ooiia ioobio,Ooiia
Ufaoui-eoue,Ufaoui eouee,Ufaoui
Qukio-kei,Qukio kei,Qukio
Obilox-oeej,Obiloxiufo oeej,Obiloxiufo
Fegoa-uzi,Fegoa uzi,Fegoa
Fegoa-oqe,Fegoa oqe,Fegoa
Fegoa-iuwa,Fegoa iuwaiu,Fegoa
Euoroq-iiom,Euoroquet iiom,Euoroquet
Euoroq-eaon,Euoroquet eaon,Euoroquet
Euoroq-aiiu,Euoroquet aiiu,Euoroquet
Euoroq-ohei,Euoroquet oheioh,Euoroquet
Euoroq-elai,Euoroquet elaier,Euoroquet
Euoroq-aapa,Euoroquet aapaaa,Euoroquet
Euveih,Euveiho,Euveiho
Euveih-eiae,Euveiho eiaeei,Euveiho
Euveih-ooio,Euveiho ooiovo,Euveiho
Euveih-iui,Euveiho iui,Euveiho
Euveih-yoao,Euveiho yoao,Euveiho
Euveih-umei,Euveiho umeiua,Euveiho
Euveih-eos,Euveiho eos,Euveiho
Euveih-uaac,Euveiho uaac,Euveiho
Euveih-ioie,Euveiho ioieio,Euveiho
Euveih-soei,Euveiho soeil,Euveiho
Etomis-onu,Etomisaede onu,Etomisaede
Etomis-oeza,Etomisaede oeza,Etomisaede
Ligous-aki,Ligousu aki,Ligousu
Exoyoq,Exoyoqoou,Exoyoqoou
Exoyoq-aaii,Exoyoqoou aaiiaa,Exoyoqoou
Exoyoq-eie,Exoyoqoou eie,Exoyoqoou
Exoyoq-euox,Exoyoqoou euox,Exoyoqoou
Qubiod-zae,Qubiodate zae,Qubiodate
Apiro-itii,Apiro itiii,Apiro
Gebuuv,Gebuuvowi,Gebuuvowi
Gebuuv-onai,Gebuuvowi onaio,Gebuuvowi
Gebuuv-aise,Gebuuvowi aisea,Gebuuvowi
Gebuuv-aia,Gebuuvowi aia,Gebuuvowi
Ikedos,Ikedos,Ikedos
Ikedos-uami,Ikedos uamiu,Ikedos
Ikedos-oos,Ikedos oos,Ikedos
Ikedos-ueei,Ikedos ueeiye,Ikedos
Ikedos-axeu,Ikedos axeua,Ikedos
Ikedos-ayue,Ikedos ayueaa,Ikedos
Ikedos-ixiu,Ikedos ixiu,Ikedos
Ikedos-iike,Ikedos iike,Ikedos
Ikedos-eain,Ikedos eainea,Ikedos
Ikedos-oeae,Ikedos oeae,Ikedos
Ikedos-otua,Ikedos otuaok,Ikedos
Ikedos-euox,Ikedos euoxe,Ikedos
Aiuoud-aaea,Aiuoudi aaeaaa,Aiuoudi
Uouqim-wou,Uouqimea wou,Uouqimea
Iijuub-axeu,Iijuubeke axeua,Iijuubeke
Ooesiy-ewua,Ooesiyaaco ewuae,Ooesiyaaco
Rosaub-uaue,Rosaubuna uaueus,Rosaubuna
Ubobiq-uuc,Ubobiqail uuc,Ubobiqail
Ubobiq-iia,Ubobiqail iia,Ubobiqail
Ubobiq-uaae,Ubobiqail uaaeua,Ubobiqail
Ubobiq-oaup,Ubobiqail oaupo,Ubobiqail
Juwoac,Juwoacepa,Juwoacepa
Juwoac-ezi,Juwoacepa ezi,Juwoacepa
Erexan-ooui,Erexani oouiog,Erexani
Erexan-ouna,Erexani ounao,Erexani
Erexan-eoo,Erexani eoo,Erexani
Erexan-auex,Erexani auexau,Erexani
Zoduew-ulu,Zoduew ulu,Zoduew
Uriuo-ifee,Uriuo ifee,Uriuo
Uriuo-iyee,Uriuo iyeeio,Uriuo
Uriuo-aoih,Uriuo aoihao,Uriuo
Yabeux,Yabeuxe,Yabeuxe
Yabeux-ooia,Yabeuxe ooiao,Yabeuxe
Yabeux-eqo,Yabeuxe eqo,Yabeuxe
Uuehan-ifee,Uuehanairu ifee,Uuehanairu
Xayuex,Xayuexaia,Xayuexaia
Xayuex-ulu,Xayuexaia ulu,Xayuexaia
Xayuex-uka,Xayuexaia uka,Xayuexaia
Ewura-aeu,Ewura aeu,Ewura
Ewura-ame,Ewura ame,Ewura
Ewura-umie,Ewura umieu,Ewura
Ewura-ouuz,Ewura ouuzo,Ewura
Moeeis-eah,Moeeis eah,Moeeis
Axuloz-aee,Axulozeuea aee,Axulozeuea
Fijiuz-auow,Fijiuzey auowa,Fijiuzey
Ubakiz-ioug,Ubakizou iougio,Ubakizou
Ubakiz-meo,Ubakizou meo,Ubakizou
Rahaec-iuia,Rahaecovar iuiais,Rahaecovar
Rahaec-iale,Rahaecovar iale,Rahaecovar
Rahaec-exee,Rahaecovar exee,Rahaecovar
Rahaec-anii,Rahaecovar aniia,Rahaecovar
Udewov-erau,Udewov erauew,Udewov
Doyauy-auva,Doyauyuma auvaau,Doyauyuma
Uaugos-ueuu,Uaugoseu ueuu,Uaugoseu
Seiuuh-eiuy,Seiuuhaeah eiuye,Seiuuhaeah
Ogeou-ieef,Ogeou ieefi,Ogeou
Ogeou-tia,Ogeou tia,Ogeou
Jejaen-apua,Jejaenax apua,Jejaenax
Iiemup-iwue,Iiemupu iwueiq,Iiemupu
Koduis-iana,Koduisuyi ianaia,Koduisuyi
Emumod-aoo,Emumodeae aoo,Emumodeae
Guxaiw-aoay,Guxaiwuua aoaya,Guxaiwuua
Ioeduf-noee,Ioeduf noeeco,Ioeduf
Ioeduf-eua,Ioeduf eua,Ioeduf
Yuaeo-azu,Yuaeo azu,Yuaeo
Yuaeo-olu,Yuaeo olu,Yuaeo
Uhoueg-iib,Uhoueguad iib,Uhoueguad
Favuox,Favuoxih,Favuoxih
Favuox-oui,Favuoxih oui,Favuoxih
Favuox-afue,Favuoxih afueac,Favuoxih
Eyaeoq-koeu,Eyaeoq koeu,Eyaeoq
Yalia-uvee,Yalia uveeue,Yalia
Iqupag,Iqupage,Iqupage
Iqupag-uheo,Iqupage uheous,Iqupage
Iqupag-ouv,Iqupage ouv,Iqupage
Iqupag-ueal,Iqupage ueal,Iqupage
Iqupag-iaar,Iqupage iaaria,Iqupage
Iqupag-coi,Iqupage coi,Iqupage
Xohoob-uiom,Xohoob uiom,Xohoob
Xohoob-ueoe,Xohoob ueoeu,Xohoob
Ohueoi-ouoc,Ohueoiia ouoc,Ohueoiia
Papiap-adei,Papiape adeia,Papiape
Umodoi-atiu,Umodoiuu atiu,Umodoiuu
Nanoie,Nanoie,Nanoie
Nanoie-uihi,Nanoie uihiu,Nanoie
Nanoie-aau,Nanoie aau,Nanoie
Nanoie-ieeu,Nanoie ieeu,Nanoie
Nanoie-ouu,Nanoie ouu,Nanoie
Uyegua-oogi,Uyeguaa oogio,Uyeguaa
Uyegua-iiiw,Uyeguaa iiiwi,Uyeguaa
Daieef-ujio,Daieef ujiou,Daieef
Apujah,Apujaheuc,Apujaheuc
Apujah-zieo,Apujaheuc zieo,Apujaheuc
Apujah-oei,Apujaheuc oei,Apujaheuc
Apujah-oto,Apujaheuc oto,Apujaheuc
Mojiaa-iie,Mojiaaufib iie,Mojiaaufib
Acudu-aeza,Acudu aezaa,Acudu
Acudu-aoam,Acudu aoama,Acudu
Rexeov-eeeh,Rexeovayo eeeh,Rexeovayo
Rexeov-rei,Rexeovayo rei,Rexeovayo
Aoumek-usio,Aoumeko usious,Aoumeko
Piciat-iuai,Piciate iuai,Piciate
Piciat-etae,Piciate etae,Piciate
Piciat-oewi,Piciate oewi,Piciate
Piciat-uior,Piciate uiorui,Piciate
Piciat-umie,Piciate umieu,Piciate
Iqiaud-erue,Iqiaud erueef,Iqiaud
Loliaa-ouo,Loliaaov ouo,Loliaaov
Ujulap-eiub,Ujulapei eiube,Ujulapei
Ujulap-dea,Ujulapei dea,Ujulapei
Ujulap-iuau,Ujulapei iuauk,Ujulapei
Rogiue-eood,Rogiueuz eoode,Rogiueuz
Iceuoi-udu,Iceuoieev udu,Iceuoieev
Oivuim,Oivuim,Oivuim
Atelax-ere,Atelaxiul ere,Atelaxiul
Atelax-uya,Atelaxiul uya,Atelaxiul
Kaaaof-auva,Kaaaofalej auvaau,Kaaaofalej
Uiiai-aeoi,Uiiai aeoia,Uiiai
Fecooq-oaoy,Fecooqo oaoy,Fecooqo
Itivo-dea,Itivo dea,Itivo
Itivo-ueoe,Itivo ueoeu,Itivo
Oihaao,Oihaaoa,Oihaaoa
Oihaao-woau,Oihaaoa woau,Oihaaoa
Ixuwuy-ayoe,Ixuwuyeeqi ayoeaq,Ixuwuyeeqi
Hakuu-ebuo,Hakuu ebuo,Hakuu
Ahuaoc-aelu,Ahuaociaqa aelua,Ahuaociaqa
Ahuaoc-aoy,Ahuaociaqa aoy,Ahuaociaqa
Buqeen-iio,Buqeena iio,Buqeena
Olezus-aaug,Olezusiodo aaug,Olezusiodo
Mouium-aoih,Mouiumipi aoihao,Mouiumipi
Ifenep-aelu,Ifenepiev aelua,Ifenepiev
Ifenep-oeon,Ifenepiev oeon,Ifenepiev
Qezuun-eie,Qezuunuf eie,Qezuunuf
Eresa-boui,Eresa boui,Eresa
Eresa-abiu,Eresa abiua,Eresa
Voyaaz,Voyaazoo,Voyaazoo
Voyaaz-uzi,Voyaazoo uzi,Voyaazoo
Egavik-aov,Egavik aov,Egavik
Egavik-olu,Egavik olu,Egavik
Egavik-eee,Egavik eee,Egavik
Egavik-ioo,Egavik ioo,Egavik
Bigoiw,Bigoiw,Bigoiw
Bigoiw-eoeu,Bigoiw eoeuk,Bigoiw
Bigoiw-uka,Bigoiw uka,Bigoiw
Bigoiw-idoi,Bigoiw idoii,Bigoiw
Bigoiw-icuo,Bigoiw icuo,Bigoiw
Axoout-oeza,Axoouto oeza,Axoouto
Danooz-uvoe,Danooziua uvoe,Danooziua
